input_question,input_context,expect_expected_response,expect_expected_facts,tag_domain,tag_difficulty
What is the refund policy?,"Refund Policy: Customers may request a full refund within 30 days of purchase. Proof of receipt is required.",Customers can get a full refund within 30 days of purchase with proof of receipt.,30 days;full refund;proof of receipt,policy,single_hop
What are the support hours?,"Support Hours: Our team is available Monday through Friday from 9:00 AM to 6:00 PM Eastern Standard Time.",Support is available Monday to Friday 9 AM to 6 PM EST.,Monday-Friday;9 AM-6 PM;EST,support,single_hop
How do I reset my password?,"Password Reset: Click the Forgot Password link on the login page. A reset link will be sent to your registered email address.",Use the Forgot Password link on the login page and follow the emailed reset link.,Forgot Password link;login page;email,account,single_hop
What is the data retention period?,"Data Retention: User activity logs are retained for 90 days. Account data is retained for the lifetime of the account plus 30 days after deletion.",Activity logs are kept 90 days and account data for the account lifetime plus 30 days after deletion.,90 days logs;account lifetime;30 days after deletion,policy,multi_hop
Which plans include priority support?,"Plans: The Free plan has community support only. The Pro plan includes email support. The Enterprise plan includes priority 24/7 support with a dedicated manager.",Priority support is included only in the Enterprise plan.,Enterprise plan;priority 24/7;dedicated manager,billing,multi_hop
How is my data encrypted?,"Security: Data is encrypted at rest using AES-256 and in transit using TLS 1.3. Encryption keys are rotated every 90 days.",Data is encrypted at rest with AES-256 and in transit with TLS 1.3 with keys rotated every 90 days.,AES-256;TLS 1.3;90-day rotation,security,multi_hop
Can I export my data?,"Data Export: Users on any paid plan can export their data as CSV or JSON from the account settings page at any time.",Paid-plan users can export data as CSV or JSON from account settings.,paid plan;CSV or JSON;account settings,account,single_hop
What is the uptime guarantee?,"SLA: The Enterprise plan guarantees 99.9% monthly uptime. Service credits are issued if uptime falls below this threshold.",The Enterprise plan guarantees 99.9% monthly uptime with service credits if it falls below.,99.9% uptime;Enterprise;service credits,policy,single_hop
How do I cancel my subscription?,"Cancellation: You can cancel anytime from the billing section. Cancellation takes effect at the end of the current billing cycle and no further charges apply.",Cancel from the billing section; it takes effect at the end of the current billing cycle.,billing section;end of billing cycle;no further charges,billing,single_hop
What happens to my data after account deletion?,"Deletion: When an account is deleted all personal data is permanently removed within 30 days except where retention is legally required.",After deletion personal data is permanently removed within 30 days unless legally required to retain it.,30 days;permanently removed;legal exceptions,policy,multi_hop
