input_question,expect_expected_response,expect_expected_facts,tag_category,tag_difficulty
What is the capital of France?,The capital of France is Paris.,Paris,geography,easy
Explain photosynthesis in one sentence.,Photosynthesis is the process by which plants convert sunlight water and carbon dioxide into glucose and oxygen.,sunlight;water;carbon dioxide;glucose;oxygen,science,easy
What is 15 multiplied by 7?,15 multiplied by 7 equals 105.,105,math,easy
Who wrote the play Romeo and Juliet?,Romeo and Juliet was written by William Shakespeare.,William Shakespeare,literature,easy
What is the boiling point of water at sea level in degrees Celsius?,Water boils at 100 degrees Celsius at sea level.,100 Celsius;sea level,science,easy
Define machine learning in one sentence.,Machine learning is a field of AI where systems learn patterns from data to make predictions without being explicitly programmed.,learn from data;predictions;subset of AI,ai,medium
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter,astronomy,easy
Convert 1 kilometer to meters.,One kilometer equals 1000 meters.,1000 meters,math,easy
Summarize the water cycle in one sentence.,The water cycle describes how water evaporates condenses into clouds and falls back to earth as precipitation.,evaporation;condensation;precipitation,science,medium
What year did the first human land on the moon?,The first human landed on the moon in 1969.,1969;Apollo 11,history,medium
